iter	RMSE
250	34.24730122
251	34.18732903
252	34.09782315
253	33.58973504
254	33.50532082
255	33.0031881
256	32.5776555
257	32.21077068
258	31.80782095
259	31.41430768
260	30.99806154
261	30.80581415
262	30.68959604
263	30.33438075
264	29.89203951
265	29.52316246
266	29.47998337
267	29.41380847
268	29.35373579
269	28.99514033
270	28.85606632
271	28.48298282
272	28.25797576
273	28.15974783
274	28.08649482
275	28.05063923
276	27.50859659
277	27.32508184
278	27.24698524
279	27.09554244
280	26.94482387
281	26.63228364
282	26.28310368
283	25.86055148
284	25.81444831
285	25.4507957
286	25.3166955
287	25.09079703
288	24.88384232
289	24.8256045
290	24.57127577
291	24.28584521
292	24.20388792
293	23.87144077
294	23.56487822
295	23.29136575
296	23.23294017
297	23.09678456
298	22.80906348
299	22.67894332
300	22.58680003
301	22.32705569
302	22.15632271
303	21.90255181
304	21.71176082
305	21.55006797
306	21.49747525
307	21.39555719
308	21.2305784
309	21.02615077
310	20.93718955
311	20.7675277
312	20.74735682
313	20.57206413
314	20.27818321
315	20.2570525
316	19.97132514
317	19.82997761
318	19.67726447
319	19.6462956
320	19.5520925
321	19.40796148
322	19.2736736
323	19.1956191
324	19.16091904
325	19.12286088
326	18.82689337
327	18.72801473
328	18.43305346
329	18.40892834
330	18.20142002
331	17.96844942
332	17.76887755
333	17.7006697
334	17.47814313
335	17.20256796
336	17.16606365
337	17.04106484
338	16.83989262
339	16.64094211
340	16.5643126
341	16.39241222
342	16.21737245
343	16.17408759
344	15.9888279
345	15.89330384
346	15.84453335
347	15.80486678
348	15.69204203
349	15.4744948
350	15.31102458
351	15.24278706
352	15.10470439
353	15.01635419
354	14.98959405
355	14.8843308
356	14.74026106
357	14.7119424
358	14.50180498
359	14.40737836
360	14.18525973
361	14.06372093
362	14.01253153
363	13.88955886
364	13.70847543
365	13.58697837
366	13.56388881
367	13.48411757
368	13.34679665
369	13.19169134
370	13.16761341
371	12.98179348
372	12.9536605
373	12.75149652
374	12.61280624
375	12.57323461
376	12.55387683
377	12.46549522
378	12.33745947
379	12.14848214
380	12.12755916
381	11.99901492
382	11.85868339
383	11.7402109
384	11.66631637
385	11.56100592
386	11.54132464
387	11.38324672
388	11.23433224
389	11.15956371
390	11.00874427
391	10.94353116
392	10.88981049
393	10.87085947
394	10.78004599
395	10.70009563
396	10.56195829
397	10.40598991
398	10.36524497
399	10.27254224
400	10.20830515
401	10.0868956
402	10.0279354
403	9.932658121
404	9.87340039
405	9.80332922
406	9.760048163
407	9.631438031
408	9.570360058
409	9.554371932
410	9.429481734
411	9.304703358
412	9.262337163
413	9.225817684
414	9.108099635
415	9.089082904
416	9.069105904
417	9.051895147
418	8.935030322
419	8.897758098
420	8.826709715
421	8.7165607
422	8.641331913
423	8.603475323
424	8.516489423
425	8.475609453
426	8.459026663
427	8.367226591
428	8.304238647
429	8.292314057
430	8.258516511
431	8.193434837
432	8.15682602
433	8.076786581
434	7.958082356
435	7.941149072
436	7.838478559
437	7.804326873
438	7.748483673
439	7.684823555
440	7.655335175
441	7.58321862
442	7.523554419
443	7.403727781
444	7.390127173
445	7.296329975
446	7.250462773
447	7.166492387
448	7.152291152
449	7.073394911
450	7.06431727
451	7.053216651
452	6.989998977
453	6.922025598
454	6.831039063
455	6.782201105
456	6.699484707
457	6.629844157
458	6.596011771
459	6.507529724
460	6.489656053
461	6.412631576
462	6.401598644
463	6.312316614
464	6.251399001
465	6.228983662
466	6.187943086
467	6.149567035
468	6.142332489
469	6.085143603
470	6.056464433
471	5.973369334
472	5.947873796
473	5.919940236
474	5.873462357
475	5.806889319
476	5.765715429
477	5.679376084
478	5.662621577
479	5.608511222
480	5.55108159
481	5.49186967
482	5.440873891
483	5.393671494
484	5.363081156
485	5.344359289
486	5.307493228
487	5.281052525
488	5.264934426
489	5.231199972
490	5.202721668
491	5.154371729
492	5.101031028
493	5.070351505
494	5.058143228
495	5.048967644
496	4.994095025
497	4.972505383
498	4.944900628
499	4.891368893
